S no.,Name,Link,Year,Directors,Actors,IMDB rating
88,The Flash,https://www.imdb.com/title/tt0439572/,2023,Andy Muschietti ,"Ben Affleck, Michael Shannon",NA
89,Fast X,https://www.imdb.com/title/tt5433140/,2023,Louis Leterrier ,"Vin Diesel, Jordana Brewster",NA
90,Harry Potter and the Sorcerer's Stone,https://www.imdb.com/title/tt0241527/,2001,Chris Columbus ,"Daniel Radcliffe, Rupert Grint",7.6
91,Tu Jhoothi Main Makkaar,https://www.imdb.com/title/tt8672856/,2023,Luv Ranjan ,"Ranbir Kapoor, Shraddha Kapoor",6.7
92,Plane,https://www.imdb.com/title/tt5884796/,2023,Jean-François Richet ,"Gerard Butler, Mike Colter",6.5
93,Empire of Light,https://www.imdb.com/title/tt14402146/,2022,Sam Mendes ,"Olivia Colman, Micheal Ward",6.6
94,Nope,https://www.imdb.com/title/tt10954984/,2022,Jordan Peele ,"Daniel Kaluuya, Keke Palmer",6.8
95,Sharper,https://www.imdb.com/title/tt12573454/,2023,Benjamin Caron ,"Julianne Moore, Sebastian Stan",6.6
96,Teenage Mutant Ninja Turtles: Mutant Mayhem,https://www.imdb.com/title/tt8589698/,2023,Jeff Rowe ,"Seth Rogen, Jackie Chan",NA
97,The Help,https://www.imdb.com/title/tt1454029/,2011,Tate Taylor ,"Viola Davis, Emma Stone",8.1
98,John Wick: Chapter 3 - Parabellum,https://www.imdb.com/title/tt6146586/,2019,Chad Stahelski ,"Keanu Reeves, Halle Berry",7.4
99,Gisaengchung,https://www.imdb.com/title/tt6751668/,2019,Bong Joon Ho ,"Song Kang-ho, Lee Sun-kyun",8.5
100,Scream 3,https://www.imdb.com/title/tt0134084/,2000,Wes Craven ,"David Arquette, Neve Campbell",5.6
